link,title,release_year,imdb,Streaming Platform,Genres,Runtime,Production_country,Age_rating
https://www.justwatch.com/in/tv-show/from,From,2022,7.8,Amazon Prime Video,"mystery & thriller, drama, horror, science-fiction",,United States,Not Rated
https://www.justwatch.com/in/tv-show/the-day-of-the-jackal,The Day of the Jackal,2024,8.1,Jio Cinema,"crime, drama, mystery & thriller, action & adventure",,"United Kingdom, United States",Not Rated
https://www.justwatch.com/in/tv-show/citadel-honey-bunny,Citadel: Honey Bunny,2024,6.2,Amazon Prime Video,"drama, science-fiction, mystery & thriller, action & adventure",,India,Not Rated
https://www.justwatch.com/in/tv-show/the-penguin,The Penguin,2024,8.7,Jio Cinema,"crime, drama, fantasy",,United States,Not Rated
https://www.justwatch.com/in/tv-show/dune-the-sisterhood,Dune: Prophecy,2024,7.4,Jio Cinema,"drama, science-fiction, action & adventure",,United States,Not Rated
https://www.justwatch.com/in/tv-show/mirzapur,Mirzapur,2018,8.4,Amazon Prime Video,"action & adventure, drama, crime, mystery & thriller",,India,A
https://www.justwatch.com/in/tv-show/dont-come-home,Don't Come Home,2024,7.2,Netflix,"mystery & thriller, drama, horror, science-fiction",,Thailand,Not Rated
https://www.justwatch.com/in/tv-show/taaza-khabar,Taaza Khabar,2023,8.1,Hotstar,"drama, science-fiction, comedy, fantasy, mystery & thriller, action & adventure",,India,Not Rated
https://www.justwatch.com/in/tv-show/arcane,Arcane,2021,9.0,Netflix,"drama, fantasy, science-fiction, animation, action & adventure, mystery & thriller",,"United States, France",Not Rated
https://www.justwatch.com/in/tv-show/the-pradeeps-of-pittsburgh,The Pradeeps of Pittsburgh,2024,6.1,Amazon Prime Video,"comedy, drama",,"United States, Canada",Not Rated
https://www.justwatch.com/in/tv-show/these-black-black-eyes,Yeh Kaali Kaali Ankhein,2022,7.0,Netflix,"comedy, crime, mystery & thriller, drama",,India,Not Rated
https://www.justwatch.com/in/tv-show/game-of-thrones,Game of Thrones,2011,9.2,Jio Cinema,"drama, action & adventure, science-fiction, fantasy",,United States,U
https://www.justwatch.com/in/tv-show/yellowstone,Yellowstone,2018,8.7,Netflix,"western, drama",,United States,Not Rated
https://www.justwatch.com/in/tv-show/x-x-x-uncensored,XXX: Uncensored,2018,4.8,Alt Balaji,"comedy, drama, romance",,India,Not Rated
https://www.justwatch.com/in/tv-show/say-nothing,Say Nothing,2024,8.4,Hotstar,"drama, crime, history, mystery & thriller",,United States,Not Rated
https://www.justwatch.com/in/tv-show/silo,Silo,2023,8.1,Apple TV Plus,"science-fiction, drama",,United States,A
https://www.justwatch.com/in/tv-show/mastram,Mastram,2020,6.9,VI movies and tv,"comedy, drama, fantasy",,India,Not Rated
https://www.justwatch.com/in/tv-show/tulsa-king,Tulsa King,2022,8.0,Jio Cinema,"drama, crime",,United States,Not Rated
https://www.justwatch.com/in/tv-show/dan-da-dan,Dan Da Dan,2024,8.7,Amazon Prime Video,"science-fiction, action & adventure, comedy, fantasy, romance, mystery & thriller, animation",,Japan,Not Rated
https://www.justwatch.com/in/tv-show/panchayat,Panchayat,2020,9.0,Amazon Prime Video,"drama, comedy",,India,Not Rated
https://www.justwatch.com/in/tv-show/cruel-intentions,Cruel Intentions,2024,5.2,Amazon Prime Video,drama,,"United States, Italy",Not Rated
https://www.justwatch.com/in/tv-show/the-diplomat,The Diplomat,2023,8.0,Netflix,"war & military, drama, mystery & thriller",,United States,A
https://www.justwatch.com/in/tv-show/agatha-house-of-harkness,Agatha All Along,2024,7.2,Hotstar,"science-fiction, mystery & thriller, action & adventure, comedy, drama, fantasy",,United States,Not Rated
https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,The Great Indian Kapil Show,2024,6.5,Netflix,comedy,,India,Not Rated
https://www.justwatch.com/in/tv-show/breaking-bad,Breaking Bad,2008,9.5,Netflix,"drama, mystery & thriller, crime",,United States,A
https://www.justwatch.com/in/tv-show/friends,Friends,1994,8.9,Netflix,"comedy, romance",,United States,UA
https://www.justwatch.com/in/tv-show/cross,Cross,2024,7.2,Amazon Prime Video,"action & adventure, crime, mystery & thriller, drama",,United States,Not Rated
https://www.justwatch.com/in/tv-show/scam-1992,Scam 1992: The Harshad Mehta Story,2020,9.2,Sony Liv,"crime, drama, mystery & thriller",,India,Not Rated
https://www.justwatch.com/in/tv-show/the-legend-of-hanuman,The Legend of Hanuman,2021,9.1,Hotstar,"fantasy, animation, action & adventure, kids & family",,India,Not Rated
https://www.justwatch.com/in/tv-show/gandii-baat,Gandii Baat,2018,3.4,Alt Balaji,"drama, crime, mystery & thriller",,India,A
https://www.justwatch.com/in/tv-show/apharan,Apharan,2018,8.2,Alt Balaji,"crime, mystery & thriller, drama",,India,Not Rated
https://www.justwatch.com/in/tv-show/cobra-kai,Cobra Kai,2018,8.4,Netflix,"action & adventure, drama, comedy, sport",,United States,Not Rated
https://www.justwatch.com/in/tv-show/sweetpea,Sweetpea,2024,7.2,Jio Cinema,"drama, comedy",,United Kingdom,Not Rated
https://www.justwatch.com/in/tv-show/murder-mindfully,Murder Mindfully,2024,7.5,Netflix,"comedy, crime, mystery & thriller",,Germany,A
https://www.justwatch.com/in/tv-show/farzi,Farzi,2023,8.3,Amazon Prime Video,"drama, mystery & thriller, crime",,India,Not Rated
